32
0	1852	1202	2002	1231	1984	1795	1846	1174	1418	1562	1979	1975	1574	1719	1787	1459	1383	1243	1224	1552	1638	1491	1440	1197	1840	1388	1792	1771	2031	1033	1774	
1852	0	1969	1952	1759	1683	1121	1298	1678	1778	1944	1902	1748	1815	1186	1883	1310	2029	1601	1967	1423	1181	1142	1849	1329	1673	1112	1605	1497	1232	1729	1734	
1202	1969	0	1182	1545	1613	1526	1096	1817	1177	1802	1350	1099	1247	1611	1499	1101	1149	1069	2020	1294	1997	1299	2021	1098	1882	1635	1251	1334	1560	1919	1539	
2002	1952	1182	0	1940	1950	1416	1625	1233	1945	1196	1102	1128	1877	1764	1344	1051	1622	1633	1340	1644	1677	1769	1912	1107	1917	1736	1970	1212	1277	1725	1357	
1231	1759	1545	1940	0	1311	1674	1831	1395	1890	1279	1660	1089	1154	1103	1987	1276	1581	1630	1249	1733	1688	1593	1843	1913	1857	1119	1461	1932	1521	1161	1958	
1984	1683	1613	1950	1311	0	1415	1140	1486	2027	1610	1468	1782	1899	1948	1628	1425	1314	1134	1730	1198	1427	1325	1434	1810	1929	1137	1097	1242	1073	1591	1058	
1795	1121	1526	1416	1674	1415	0	1517	1799	1076	1349	1071	1718	1195	1876	1390	1901	1968	1505	1837	1113	1369	1214	1806	1889	1436	2033	1489	1821	1451	1548	1165	
1846	1298	1096	1625	1831	1140	1517	0	1996	1786	1816	1750	1981	1495	1217	1870	1600	1551	1955	1053	1150	1136	1267	1973	1808	1130	1847	1032	1935	1228	1834	1904	
1174	1678	1817	1233	1395	1486	1799	1996	0	1868	1245	1654	2028	1052	1568	1589	1431	1603	1753	1466	1656	1927	1731	1040	1059	1180	1072	1838	1585	1248	1478	1086	
1418	1778	1177	1945	1890	2027	1076	1786	1868	0	1845	1057	1372	1138	1240	1306	1261	1770	1139	1199	1993	1946	1998	1384	2045	1087	1869	1435	1122	1332	1482	1896	
1562	1944	1802	1196	1279	1610	1349	1816	1245	1845	0	1547	1757	1095	1682	1643	1602	1646	1698	1824	1582	1173	1355	1713	1504	1867	1864	1438	1421	1300	1047	1081	
1979	1902	1350	1102	1660	1468	1071	1750	1654	1057	1547	0	1324	1402	1524	1974	1841	1363	1513	1345	1184	2048	1317	1256	1794	1679	1668	1619	1211	1452	1989	1056	
1975	1748	1099	1128	1089	1782	1718	1981	2028	1372	1757	1324	0	1237	1456	1411	1994	1964	1308	1305	1169	1260	1492	1316	1313	1269	1842	1219	1639	1690	1937	1985	
1574	1815	1247	1877	1154	1899	1195	1495	1052	1138	1095	1402	1237	0	1183	1666	1615	2046	1737	1444	1995	1617	1337	1822	1707	1327	1875	2025	1706	1223	1330	1210	
1719	1186	1611	1764	1103	1948	1876	1217	1568	1240	1682	1524	1456	1183	0	1599	1665	1077	1566	1475	1941	1226	1595	1650	1886	1370	1537	1509	1790	1259	1375	1640	
1787	1883	1499	1344	1987	1628	1390	1870	1589	1306	1643	1974	1411	1666	1599	0	1520	1061	1049	2036	1797	2003	1608	1290	2017	1767	1286	1942	1297	1288	1508	1626	
1459	1310	1101	1051	1276	1425	1901	1600	1431	1261	1602	1841	1994	1615	1665	1520	0	1124	1403	1667	1859	1031	1368	1221	1772	1346	1155	1361	1234	1609	1726	1647	
1383	2029	1149	1622	1581	1314	1968	1551	1603	1770	1646	1363	1964	2046	1077	1061	1124	0	1992	1371	1751	1701	1465	1358	2043	1755	1453	1164	1216	1271	2047	1575	
1243	1601	1069	1633	1630	1134	1505	1955	1753	1139	1698	1513	1308	1737	1566	1049	1403	1992	0	1976	1364	1632	2007	1747	1986	1681	2032	1433	1592	1741	1283	1255	
1224	1967	2020	1340	1249	1730	1837	1053	1466	1199	1824	1345	1305	1444	1475	2036	1667	1371	1976	0	1686	1657	1691	1930	1487	1765	1584	1820	1110	1479	1693	1708	
1552	1423	1294	1644	1733	1198	1113	1150	1656	1993	1582	1184	1169	1995	1941	1797	1859	1751	1364	1686	0	1819	1443	1564	1203	1999	1054	1977	1704	1050	1722	2044	
1638	1181	1997	1677	1688	1427	1369	1136	1927	1946	1173	2048	1260	1617	1226	2003	1031	1701	1632	1657	1819	0	2009	1301	1878	1506	1627	1788	1629	2041	1631	1814	
1491	1142	1299	1769	1593	1325	1214	1267	1731	1998	1355	1317	1492	1337	1595	1608	1368	1465	2007	1691	1443	2009	0	1532	1850	1265	1573	1323	2006	1127	1865	1761	
1440	1849	2021	1912	1843	1434	1806	1973	1040	1384	1713	1256	1316	1822	1650	1290	1221	1358	1747	1930	1564	1301	1532	0	1634	1621	1029	1519	1257	1041	1338	1463	
1197	1329	1098	1107	1913	1810	1889	1808	1059	2045	1504	1794	1313	1707	1886	2017	1772	2043	1986	1487	1203	1878	1850	1634	0	1988	1538	1954	1082	1804	1457	1793	
1840	1673	1882	1917	1857	1929	1436	1130	1180	1087	1867	1679	1269	1327	1370	1767	1346	1755	1681	1765	1999	1506	1265	1621	1988	0	1109	1147	1531	1579	1464	1318	
1388	1112	1635	1736	1119	1137	2033	1847	1072	1869	1864	1668	1842	1875	1537	1286	1155	1453	2032	1584	1054	1627	1573	1029	1538	1109	0	1623	1131	1188	1636	1084	
1792	1605	1251	1970	1461	1097	1489	1032	1838	1435	1438	1619	1219	2025	1509	1942	1361	1164	1433	1820	1977	1788	1323	1519	1954	1147	1623	0	2000	1156	1039	1920	
1771	1497	1334	1212	1932	1242	1821	1935	1585	1122	1421	1211	1639	1706	1790	1297	1234	1216	1592	1110	1704	1629	2006	1257	1082	1531	1131	2000	0	1832	1777	1848	
2031	1232	1560	1277	1521	1073	1451	1228	1248	1332	1300	1452	1690	1223	1259	1288	1609	1271	1741	1479	1050	2041	1127	1041	1804	1579	1188	1156	1832	0	1230	1648	
1033	1729	1919	1725	1161	1591	1548	1834	1478	1482	1047	1989	1937	1330	1375	1508	1726	2047	1283	1693	1722	1631	1865	1338	1457	1464	1636	1039	1777	1230	0	1281	
1774	1734	1539	1357	1958	1058	1165	1904	1086	1896	1081	1056	1985	1210	1640	1626	1647	1575	1255	1708	2044	1814	1761	1463	1793	1318	1084	1920	1848	1648	1281	0	
