21
0	211	787	575	630	207	955	85	754	659	177	829	393	496	158	752	789	578	573	797	660	
211	0	605	83	84	570	324	918	272	978	535	806	58	840	836	257	55	232	119	852	564	
787	605	0	517	385	338	102	543	225	634	888	939	692	610	345	444	491	317	864	412	98	
575	83	517	0	653	820	79	964	270	68	781	115	316	234	832	803	107	639	63	963	631	
630	84	385	653	0	152	684	617	353	95	994	550	288	743	775	773	349	458	824	883	867	
207	570	338	820	152	0	161	273	365	881	924	140	600	582	244	382	597	760	167	958	376	
955	324	102	79	684	161	0	663	164	310	990	941	57	992	636	679	971	311	965	586	741	
85	918	543	964	617	273	663	0	876	871	568	372	552	648	492	740	967	705	680	893	321	
754	272	225	270	353	365	164	876	0	645	800	386	426	545	404	509	641	979	674	301	774	
659	978	634	68	95	881	310	871	645	0	500	354	953	976	87	544	350	772	179	60	287	
177	535	888	781	994	924	990	568	800	500	0	505	593	309	56	937	151	424	702	962	478	
829	806	939	115	550	140	941	372	386	354	505	0	307	913	341	744	551	652	734	204	538	
393	58	692	316	288	600	57	552	426	953	593	307	0	236	1000	494	423	926	203	445	961	
496	840	610	234	743	582	992	648	545	976	309	913	236	0	951	793	843	707	921	417	279	
158	836	345	832	775	244	636	492	404	87	56	341	1000	951	0	866	128	229	331	785	638	
752	257	444	803	773	382	679	740	509	544	937	744	494	793	866	0	437	106	768	132	168	
789	55	491	107	349	597	971	967	641	350	151	551	423	843	128	437	0	159	796	240	683	
578	232	317	639	458	760	311	705	979	772	424	652	926	707	229	106	159	0	114	549	925	
573	119	864	63	824	167	965	680	674	179	702	734	203	921	331	768	796	114	0	457	304	
797	852	412	963	883	958	586	893	301	60	962	204	445	417	785	132	240	549	457	0	974	
660	564	98	631	867	376	741	321	774	287	478	538	961	279	638	168	683	925	304	974	0	
