25
0	784	680	1233	966	672	657	1040	740	897	1172	1201	1238	1197	1041	900	816	967	1227	1156	1016	1038	1113	1122	800	
784	0	881	889	859	1052	762	1216	664	1085	703	1158	1226	972	1125	755	796	1090	1152	1026	1011	705	716	1108	1131	
680	881	0	684	843	955	1118	686	1212	638	1082	981	995	834	687	993	768	973	1006	1214	699	1055	988	931	714	
1233	889	684	0	847	1129	711	1056	1003	844	791	827	782	990	627	629	1222	1081	954	741	1206	829	1219	785	810	
966	859	843	847	0	901	921	1027	681	1231	1037	862	1045	709	1051	923	706	1053	1187	793	999	790	670	781	669	
672	1052	955	1129	901	0	1066	1004	735	1174	1115	710	1209	813	1198	895	1098	911	998	1180	909	754	765	656	1240	
657	762	1118	711	921	1066	0	1208	1067	890	625	685	980	1165	1030	1123	1204	774	668	860	854	1142	864	902	914	
1040	1216	686	1056	1027	1004	1208	0	787	724	1159	1213	1076	756	691	1124	1126	918	1176	719	661	688	1242	826	1057	
740	664	1212	1003	681	735	1067	787	0	836	1246	1109	805	934	722	919	968	1107	663	1190	848	651	802	1141	1245	
897	1085	638	844	1231	1174	890	724	836	0	915	947	1221	742	840	935	635	1010	1079	1024	817	819	1128	952	788	
1172	703	1082	791	1037	1115	625	1159	1246	915	0	692	842	1193	673	737	783	1164	738	786	683	950	694	801	1017	
1201	1158	981	827	862	710	685	1213	1109	947	692	0	780	1217	953	690	764	794	867	1177	1002	1077	979	851	713	
1238	1226	995	782	1045	1209	980	1076	805	1221	842	780	0	893	751	937	1020	1157	1080	959	1000	1171	1039	667	1078	
1197	972	834	990	709	813	1165	756	934	742	1193	1217	893	0	1021	1105	1121	1019	1092	647	1173	910	721	658	763	
1041	1125	687	627	1051	1198	1030	691	722	840	673	953	751	1021	0	1044	811	1147	736	861	1182	1169	1001	1022	850	
900	755	993	629	923	895	1123	1124	919	935	737	690	937	1105	1044	0	1155	644	1032	1025	807	778	896	642	846	
816	796	768	1222	706	1098	1204	1126	968	635	783	764	1020	1121	811	1155	0	939	1008	776	899	789	1170	930	1106	
967	1090	973	1081	1053	911	774	918	1107	1010	1164	794	1157	1019	1147	644	939	0	941	759	1148	978	1061	640	1132	
1227	1152	1006	954	1187	998	668	1176	663	1079	738	867	1080	1092	736	1032	1008	941	0	743	1120	723	708	1223	677	
1156	1026	1214	741	793	1180	860	719	1190	1024	786	1177	959	647	861	1025	776	759	743	0	745	1210	771	1069	715	
1016	1011	699	1206	999	909	854	661	848	817	683	1002	1000	1173	1182	807	899	1148	1120	745	0	1112	645	652	1023	
1038	705	1055	829	790	754	1142	688	651	819	950	1077	1171	910	1169	778	789	978	723	1210	1112	0	650	1033	1138	
1113	716	988	1219	670	765	864	1242	802	1128	694	979	1039	721	1001	896	1170	1061	708	771	645	650	0	1093	892	
1122	1108	931	785	781	656	902	826	1141	952	801	851	667	658	1022	642	930	640	1223	1069	652	1033	1093	0	1179	
800	1131	714	810	669	1240	914	1057	1245	788	1017	713	1078	763	850	846	1106	1132	677	715	1023	1138	892	1179	0	
