32
0	1659	1780	2047	1028	1133	1576	1162	1674	1402	2015	1912	1066	1181	2030	1149	1594	1953	1319	1148	1658	1474	1450	2035	2039	1246	1572	1394	1264	1425	1816	1252	
1659	0	1871	1368	1773	1364	1969	1424	1220	1700	1756	1297	1976	1100	1944	1843	1082	1948	2024	1714	1950	1154	1722	1669	1372	1902	1204	1653	1509	1898	1128	1649	
1780	1871	0	1975	1972	1172	1419	1783	1423	1855	1862	1984	1657	1672	1103	1790	1221	1737	1191	1207	1634	1295	1828	1463	1874	2016	1614	1228	1413	1809	1592	1326	
2047	1368	1975	0	1671	1358	1481	1557	1138	1613	1716	1116	1355	1377	1503	1444	1031	1778	1130	1555	1152	1762	1273	1747	1931	1330	1626	1667	1050	1589	1253	1312	
1028	1773	1972	1671	0	1231	1899	1045	1651	1522	2022	1926	1117	1396	1263	1731	1047	1324	1811	1393	1322	1266	1480	1566	1611	1702	1992	1550	1373	1189	1562	1174	
1133	1364	1172	1358	1231	0	1061	1971	1782	1832	1676	1515	1380	2037	1793	1243	1298	2036	1845	1288	1115	1693	1305	1118	1795	1055	1420	1405	1290	1886	1689	1216	
1576	1969	1419	1481	1899	1061	0	1661	1255	1436	1254	1826	1786	1327	1401	1784	1608	1827	2032	1287	1086	1506	2018	1569	1030	1351	1945	1622	1105	1851	1675	1717	
1162	1424	1783	1557	1045	1971	1661	0	1120	1080	1688	1395	1492	1896	1939	1751	1101	1754	1073	1438	1916	1213	1186	1501	1641	1792	1490	1471	1099	1079	1282	1303	
1674	1220	1423	1138	1651	1782	1255	1120	0	1623	1794	1514	1233	1397	1309	1137	1366	1742	1982	1872	1390	1995	1797	1343	1540	1251	1958	1987	1660	1059	1387	1113	
1402	1700	1855	1613	1522	1832	1436	1080	1623	0	1187	1612	1830	1150	1683	1337	1422	1842	1400	1468	1433	1158	1865	1179	1867	1477	1630	1180	1823	1487	1761	1691	
